
Провести диагностику смартфона	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.981	Другое = 0.019
Ремонт телефона Samsyng galaxy s3 mini	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), производитель аудио(1;0.3;min), производитель часов(1;0.3;min), модель телефона(1;0.3;min)
Заменить экран на iPhone 5 черный	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5), экран(1;1.0;экра)
Отремонтировать iPhone 4s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;отремонтирова), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 4s)
Ремонт iPhone 4S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 4s)
Ремонт телефона Sony Xperia z 3 compact	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;xper z), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son)
Ремонт сотового телефона Sony Ericsson MT15i	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son), гаджет(1;1.0;сотов), производитель телефонов(1;0.3;son ericsson)
Замена стекла Samsung Galaxy Tab 3 10.1	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.971	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.026	Работа = 0.003
	замена(1;1.0;зам), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), стекло(1;1.0;стекл)
Ремонт двух мобильных телефонов Nokia Lumia 620 и Sony Xperia Z	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;lum 620), модель телефона(1;0.3;xper z), производитель телефонов(1;0.3;nok), производитель аудио(1;0.3;nok), производитель планшетов(1;0.3;nok), производитель электроники(1;0.3;son), гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт)
Ремонт экрана телефона HTC Sensation Z710e	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;htc), производитель телефонов(1;0.3;htc), производитель планшетов(1;0.3;htc), ремонт(1;1.0;ремонт), модель телефона(1;0.3;sensation), экран(1;1.0;экра)
Ремонт телефона iPhone 6 + Clone	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 6), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт iPhone 5c	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 5c), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Замена гнезда зарядки на телефона Lenovo K910 Vibe Z	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;зам), модель телефона(1;0.3;vib z), производитель аудио(1;0.3;vib), зарядное устройство(1;1.0;зарядк), производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), гаджет(1;1.0;телефон), телефон(1;1.0;телефон)
Ремонт 2-х планшетов	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Ремонт планшета asus k012	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;asus), гаджет(1;1.0;планшет)
Заменить стекло на планшете Asus	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), стекло(1;1.0;стекл), производитель электроники(1;0.3;asus), гаджет(1;1.0;планшет)
Ремонт телефона iРhone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт)
Ремонт планшета lenovo s6000	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Ремонт iPhone 5s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Ремонт телефона Apple iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Заменить батарею на iPhone 5s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5s)
Ремонт телефона Iphone 4s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 4s)
Прошивка телефона iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.997	Фото- и видео-услуги = 0.003
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), прошивка(1;1.0;прошивк), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона Samsung Galaxy S III I9300	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), производитель планшетов(1;0.3;i), ремонт(1;1.0;ремонт)
Заменить разбитый дисплей Iphone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5), экран(1;1.0;диспл), сломалось(1;1.0;разбит)
Ремонт телефона Samsung GALAXY S4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Ремонт телефона Iphone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Замени экран iPhone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), экран(1;1.0;экра), модель телефона(1;0.3;iphon 6), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона Fly	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель телефонов(1;0.3;fly), производитель планшетов(1;0.3;fly), гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт)
Прошить телефон через FlashTool	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), прошить(1;1.0;прош)
Ремонт iPhone 5C	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 5c), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Заменить стекло на iPhone5S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), стекло(1;1.0;стекл), гаджет(1;1.0;iphone5s)
Ремонт iPhone 5 в Алтуфьево	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Айфон отремонтировать	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;айфон), ремонт(1;1.0;отремонтирова)
Отремонтировать телефон Galaxy GT-I9500	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;отремонтирова)
Ремонт телефона Sony Xperia TX	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son)
Ремонт IPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт Айфона 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;айфон), ремонт(1;1.0;ремонт)
Ремонт планшета prestigio multipad 5580c	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;prestig), производитель телефонов(1;0.3;prestig), производитель аудио(1;0.3;prestig), производитель смарт-часов(1;0.3;prestig), производитель планшетов(1;0.3;prestig), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Ремонт планшета Texet TM-9767 3G	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель телефонов(1;0.3;texet), производитель смарт-часов(1;0.3;texet), производитель планшетов(1;0.3;texet), гаджет(1;1.0;планшет)
Ремонт телефона Samsung Galaxy Grand 2	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Ремонт телефона Iphone 4S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 4s)
Ремонт экрана телефона iPhone	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), экран(1;1.0;экра), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона iPhone 5 в Солнечногорске	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона Nokia 625	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель телефонов(1;0.3;nok), производитель аудио(1;0.3;nok), производитель планшетов(1;0.3;nok), ремонт(1;1.0;ремонт)
Ремонт телефона Samsung Galaxy Note 2	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Ремонт телефона Highscreen Thor	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;highscre), производитель телефонов(1;0.3;highscre), производитель планшетов(1;0.3;highscre), ремонт(1;1.0;ремонт), модель телефона(1;0.3;thor)
Ремонт телефонов Samsung s3 в СВАО	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Ремонт планшета Asus Nexus 7	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;asus), гаджет(1;1.0;планшет)
Поменять стекло телефона iPhone 5s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;поменя), гаджет(1;1.0;телефон), телефон(1;1.0;телефон), стекло(1;1.0;стекл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Ремонт сотового телефона Samsung	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт), гаджет(1;1.0;сотов)
Перепрошить телефон	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), прошить(1;1.0;перепрош)
Ремонт телефона HTC One (М8)	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;htc), производитель телефонов(1;0.3;htc), производитель планшетов(1;0.3;htc), ремонт(1;1.0;ремонт), модель телефона(1;0.3;on)
Ремонт телефона Samsung Galaxy S4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Отремонтировать телефон iPhone 4S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;отремонтирова), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 4s)
Отремонтировать планшет Samsung Tab 2 10.1	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;отремонтирова), гаджет(1;1.0;планшет)
Поменять экран на айфон 4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;поменя), гаджет(1;1.0;айфон), экран(1;1.0;экра)
Заменить дисплей на IPhone 5S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), экран(1;1.0;диспл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Ремонт телефонов МТС	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель телефонов(1;0.3;мтс), производитель планшетов(1;0.3;мтс), гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт)
Отремонтировать планшеты ( Зеленоград)	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;планшет)
iPhone 5: починить/почистить или заменить камеру	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.963	Ремонт цифровой техники -> Видео-фото техника = 0.037
	очистка(1;1.0;почист), фото-видео техника(1;1.0;камер), замена(1;1.0;замен), редактирование(1;1.0;замен), ремонт(1;1.0;почин), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Замена дисплея iPhone 4S белый	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;зам), экран(1;1.0;диспле), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 4s)
Ремонт планшета Asus Nexus 2013 LTE	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;asus), гаджет(1;1.0;планшет)
Ремонт телефона iPhone 5 s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт айфон 5s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), гаджет(1;1.0;айфон)
Не включается Huawei Mate 6.1	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.927	Другое = 0.047	Ремонт цифровой техники = 0.016	Фото- и видео-услуги = 0.006	Работа = 0.005
	производитель телефонов(1;0.3;huaw), производитель смарт-часов(1;0.3;huaw), производитель планшетов(1;0.3;huaw), не работает/завис(1;1.0;не включа)
Не включается Huawei Mate 6.1	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.927	Другое = 0.047	Ремонт цифровой техники = 0.016	Фото- и видео-услуги = 0.006	Работа = 0.005
	производитель телефонов(1;0.3;huaw), производитель смарт-часов(1;0.3;huaw), производитель планшетов(1;0.3;huaw), не работает/завис(1;1.0;не включа)
Перепрошить планшет Asus Transformer Pad TF300TG	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	прошить(1;1.0;перепрош), производитель электроники(1;0.3;asus), гаджет(1;1.0;планшет)
Ремонт смартфона MegaFon Login 2	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;смартфон), телефон(1;1.0;смартфон), производитель телефонов(1;0.3;megafon), ремонт(1;1.0;ремонт), модель телефона(1;0.3;login)
Заменить USB-порт (mini-USB) на планшете Digma	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), производитель электроники(1;0.3;digm), производитель телефонов(1;0.3;digm), производитель планшетов(1;0.3;digm), гаджет(1;1.0;планшет)
Поменять стекло на ZTE Blade l2	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.986	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.014
	замена(1;1.0;поменя), производитель электроники(1;0.3;zte), производитель телефонов(1;0.3;zte), производитель планшетов(1;0.3;zte), модель телефона(1;0.3;blad l2), стекло(1;1.0;стекл), модель телефона(1;0.3;blad)
Отремонтировать телефон HTC Desire V	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;htc), производитель телефонов(1;0.3;htc), производитель планшетов(1;0.3;htc), модель телефона(1;0.3;desir), ремонт(1;1.0;отремонтирова), модель телефона(1;0.3;desir v)
Заменить стекло IPad Air	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;ipad), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;air), стекло(1;1.0;стекл)
Ремонт телефона Sony Z1	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son)
Ремонт телефона IPhone	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона Apple iPhone 4S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl), модель телефона(1;0.3;iphon 4s)
Заменить стекло на айпэд мини первого поколения	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), гаджет(1;1.0;айпэд), стекло(1;1.0;стекл)
Ремонт телефона Samsung Galaxy S5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Ремонт сотового телефона iphone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 6), гаджет(1;1.0;сотов), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт сотового телефона Sony Xperia Z1	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;xper z1), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son), гаджет(1;1.0;сотов)
Замена стекла на планшете Asus	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;зам), стекло(1;1.0;стекл), производитель электроники(1;0.3;asus), гаджет(1;1.0;планшет)
Ремонт телефона Samsung Galaxy S3	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Ремонт Apple IPHONE 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon 5), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт экрана телефона Fly IQ4403	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель телефонов(1;0.3;fly), производитель планшетов(1;0.3;fly), гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), экран(1;1.0;экра)
Ремонт телефона ALCATEL ONE TOUCH 5036D	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;alcatel), производитель телефонов(1;0.3;alcatel), производитель аудио(1;0.3;alcatel), производитель смарт-часов(1;0.3;alcatel), производитель планшетов(1;0.3;alcatel), модель телефона(1;0.3;on), ремонт(1;1.0;ремонт)
Ремонт сотового телефона Lenovo S720	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), ремонт(1;1.0;ремонт), гаджет(1;1.0;сотов)
Ремонт планшета Explay Informer 705	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель телефонов(1;0.3;expla), производитель аудио(1;0.3;expla), производитель смарт-часов(1;0.3;expla), производитель планшетов(1;0.3;expla), гаджет(1;1.0;планшет)
